USER,DATE,FIRST LOGIN,LAST LOGOUT,IS LATE
Esmaria,Aug. 25,2024,5:12 AM,5:35 PM,No
Gizela,Aug. 25,2024,5:08 AM,6:43 PM,No
Eleen,Aug. 25,2024,5:20 AM,9:41 PM,No
Fredrika,Aug. 25,2024,5:43 AM,3:41 PM,No
Geoffry,Aug. 25,2024,5:35 AM,9:49 PM,No
Daniel,Aug. 25,2024,7:34 AM,10:11 PM,No
Norrie,Aug. 25,2024,7:02 AM,6:33 PM,No
Kristofor,Aug. 25,2024,6:52 AM,8:53 PM,No
Boycey,Aug. 25,2024,7:03 AM,9:40 PM,No
Catlin,Aug. 26,2024,10:40 AM,10:16 PM,Yes
Brittney,Aug. 26,2024,9:59 AM,7:34 PM,Yes
Jarvis,Aug. 26,2024,6:11 AM,8:44 PM,No
Daffie,Aug. 26,2024,10:33 AM,4:39 PM,Yes
Karel,Aug. 26,2024,6:58 AM,4:56 PM,No
Beulah,Aug. 26,2024,7:50 AM,4:35 PM,No
Devondra,Aug. 26,2024,6:59 AM,8:51 PM,No
Gustaf,Aug. 26,2024,11:04 AM,7:37 PM,Yes
Nerte,Aug. 25,2024,8:22 AM,9:27 PM,Yes
Emmerich,Aug. 25,2024,9:49 AM,4:42 PM,Yes
Saundra,Aug. 25,2024,8:07 AM,6:59 PM,Yes
Madelene,Aug. 25,2024,9:26 AM,6:23 PM,Yes
Yorker,Aug. 26,2024,7:49 AM,10:07 PM,No
Valentijn,Aug. 26,2024,6:21 AM,8:01 PM,No
Obediah,Aug. 26,2024,10:43 AM,9:58 PM,Yes
Haywood,Aug. 26,2024,8:12 AM,4:44 PM,Yes
Dominica,Aug. 25,2024,6:52 AM,5:53 PM,No
Ax,Aug. 26,2024,10:34 AM,8:39 PM,Yes
Nance,Aug. 25,2024,6:53 AM,5:34 PM,No
Jeramey,Aug. 26,2024,8:34 AM,4:02 PM,Yes
Lucina,Aug. 26,2024,10:52 AM,8:53 PM,Yes
Eloise,Aug. 25,2024,9:50 AM,6:16 PM,Yes
Kearney,Aug. 25,2024,7:41 AM,7:11 PM,No
Rodina,Aug. 25,2024,5:16 AM,7:19 PM,No
Fernando,Aug. 25,2024,8:08 AM,6:27 PM,Yes
Alissa,Aug. 25,2024,7:38 AM,5:14 PM,No
Caldwell,Aug. 25,2024,10:42 AM,5:45 PM,Yes
Lynn,Aug. 26,2024,10:48 AM,6:21 PM,Yes
Garrot,Aug. 25,2024,9:10 AM,4:08 PM,Yes
Win,Aug. 25,2024,8:16 AM,4:59 PM,Yes
Damon,Aug. 25,2024,9:01 AM,9:18 PM,Yes
Fowler,Aug. 25,2024,10:19 AM,6:50 PM,Yes
Andrey,Aug. 26,2024,5:00 AM,9:56 PM,No
Hugh,Aug. 25,2024,5:59 AM,8:19 PM,No
Pate,Aug. 25,2024,8:03 AM,9:58 PM,Yes
Symon,Aug. 25,2024,5:29 AM,4:51 PM,No
Calvin,Aug. 25,2024,7:47 AM,7:58 PM,No
Slade,Aug. 26,2024,10:49 AM,8:27 PM,Yes
Ellyn,Aug. 25,2024,5:38 AM,4:35 PM,No
Freda,Aug. 26,2024,5:57 AM,3:36 PM,No
Maitilde,Aug. 25,2024,10:51 AM,5:12 PM,Yes
Rafferty,Aug. 26,2024,7:08 AM,6:16 PM,No
Ringo,Aug. 26,2024,5:25 AM,4:10 PM,No
Codee,Aug. 26,2024,7:57 AM,8:08 PM,No
Melicent,Aug. 26,2024,5:24 AM,3:52 PM,No
Whit,Aug. 25,2024,8:41 AM,8:53 PM,Yes
Chrissy,Aug. 25,2024,7:47 AM,8:37 PM,No
Manny,Aug. 25,2024,10:28 AM,8:29 PM,Yes
Burton,Aug. 26,2024,9:43 AM,9:48 PM,Yes
Andrej,Aug. 26,2024,6:27 AM,5:28 PM,No
Rod,Aug. 25,2024,10:06 AM,3:30 PM,Yes
Jyoti,Aug. 25,2024,5:43 AM,6:25 PM,No
Patin,Aug. 26,2024,9:17 AM,7:44 PM,Yes
Dorice,Aug. 26,2024,9:03 AM,7:30 PM,Yes
Barbie,Aug. 25,2024,5:57 AM,10:41 PM,No
Alvis,Aug. 25,2024,6:27 AM,9:49 PM,No
Jayne,Aug. 25,2024,9:38 AM,6:44 PM,Yes
Jayme,Aug. 26,2024,8:30 AM,5:58 PM,Yes
Laryssa,Aug. 26,2024,10:22 AM,5:52 PM,Yes
Meg,Aug. 26,2024,8:59 AM,8:04 PM,Yes
Stanislaw,Aug. 25,2024,5:35 AM,6:33 PM,No
Cesare,Aug. 26,2024,6:05 AM,9:24 PM,No
Ralf,Aug. 25,2024,8:51 AM,10:30 PM,Yes
Susann,Aug. 25,2024,8:35 AM,3:59 PM,Yes
Viki,Aug. 26,2024,10:31 AM,8:28 PM,Yes
Kerwin,Aug. 25,2024,7:01 AM,3:32 PM,No
Deanna,Aug. 26,2024,10:07 AM,5:32 PM,Yes
Gwyn,Aug. 25,2024,5:24 AM,6:19 PM,No
Margaretta,Aug. 26,2024,7:24 AM,8:37 PM,No
Gabi,Aug. 25,2024,7:04 AM,9:49 PM,No
Brendan,Aug. 26,2024,8:13 AM,6:05 PM,Yes
Felita,Aug. 25,2024,6:52 AM,5:36 PM,No
Brigg,Aug. 26,2024,8:44 AM,8:15 PM,Yes
Bancroft,Aug. 25,2024,10:12 AM,3:40 PM,Yes
Abra,Aug. 25,2024,8:38 AM,9:12 PM,Yes
Linnell,Aug. 26,2024,7:24 AM,10:20 PM,No
Gerick,Aug. 25,2024,8:37 AM,10:03 PM,Yes
Gloria,Aug. 26,2024,10:51 AM,3:51 PM,Yes
Rickie,Aug. 26,2024,7:03 AM,4:47 PM,No
Jacenta,Aug. 25,2024,6:42 AM,4:10 PM,No
Corena,Aug. 26,2024,5:09 AM,9:33 PM,No
Ayn,Aug. 26,2024,10:47 AM,10:02 PM,Yes
Etienne,Aug. 25,2024,6:44 AM,6:27 PM,No
Estevan,Aug. 26,2024,9:22 AM,10:20 PM,Yes
Bartolomeo,Aug. 26,2024,8:23 AM,6:26 PM,Yes
Merle,Aug. 25,2024,6:08 AM,6:39 PM,No
Cindee,Aug. 25,2024,8:59 AM,7:51 PM,Yes
Wilhelm,Aug. 25,2024,5:40 AM,6:49 PM,No
Augustine,Aug. 26,2024,5:01 AM,7:39 PM,No
